id,word_id,form_type,position,accented
98651,9,verb_gerund_present,1,бу'дучи
98652,9,verb_gerund_past,1,бы'вши
98653,28,verb_gerund_past,1,сказа'в
98654,28,verb_gerund_past,2,сказавши
98655,32,verb_gerund_past,1,мо'гши
98656,50,verb_gerund_present,1,зна'я
98657,50,verb_gerund_past,1,зна'в
98658,50,verb_gerund_past,2,знавши
98659,53,verb_gerund_present,1,говоря'
98660,53,verb_gerund_past,1,говорив
98661,53,verb_gerund_past,2,говоривши
98662,73,verb_gerund_present,1,едя
98663,73,verb_gerund_past,1,е'в
98664,73,verb_gerund_past,2,евши
98665,90,verb_gerund_present,1,хотя'
98666,90,verb_gerund_past,1,хоте'в
98667,90,verb_gerund_past,2,хоте'вши
98668,94,verb_gerund_present,1,ви'дя
98669,94,verb_gerund_past,1,видев
98670,94,verb_gerund_past,2,видевши
98671,96,verb_gerund_present,1,идя'
98672,96,verb_gerund_past,1,ше'дши
98673,99,verb_gerund_present,1,сто'я
98674,99,verb_gerund_past,1,стояв
98675,99,verb_gerund_past,2,стоявши
98676,107,verb_gerund_present,1,ду'мая
98677,107,verb_gerund_past,1,думав
98678,107,verb_gerund_past,2,думавши
98679,109,verb_gerund_past,1,спроси'в
98680,109,verb_gerund_past,2,спросивши
98681,117,verb_gerund_present,1,живя'
98682,117,verb_gerund_past,1,живши
98683,121,verb_gerund_present,1,смотря'
98684,121,verb_gerund_past,1,смотрев
98685,121,verb_gerund_past,2,смотревши
98686,122,verb_gerund_present,1,име'я
98687,122,verb_gerund_past,1,имев
98688,122,verb_gerund_past,2,имевши
98689,124,verb_gerund_past,1,поня'в
98690,124,verb_gerund_past,2,понявши
98691,125,verb_gerund_present,1,си'дя
98692,125,verb_gerund_past,1,сидев
98693,125,verb_gerund_past,2,сидевши
98694,128,verb_gerund_present,1,де'лая
98695,128,verb_gerund_past,1,делав
98696,128,verb_gerund_past,2,делавши
98697,129,verb_gerund_past,1,сде'лав
98698,129,verb_gerund_past,2,сделавши
98699,137,verb_gerund_past,1,взя'в
98700,137,verb_gerund_past,2,взявши
