id,expression_id,referenced_word_id,start,length
72560,8214,8214,0,4
72561,19244,19244,0,4
72562,30422,30422,0,7
72563,32459,32459,0,5
72564,32483,32483,0,5
72565,32533,32533,0,12
72566,32649,32649,0,13
72567,32663,32663,0,10
72568,32913,32913,0,4
72569,33048,33048,0,9
72570,33240,33240,0,13
72571,33279,33279,0,8
72572,33432,33432,0,4
72573,33558,33558,0,11
72574,34310,34310,0,8
72575,35466,35466,0,15
72576,40079,40079,0,15
72577,53528,53528,0,12
72578,57586,57586,0,6
72579,58135,58135,0,17
72580,59728,97,0,4
72581,59728,97,5,5
72582,59737,52,0,2
72583,59737,2797,3,8
72584,59738,513,0,6
72585,59738,231,7,4
72586,59739,513,0,6
72587,59739,80,7,4
72588,59740,513,0,6
72589,59740,233,7,5
72590,59741,119,0,6
72591,59741,7,7,3
72592,59745,5,0,2
72593,59745,58,3,5
72594,59745,67,9,4
72595,59762,1575,0,5
72596,59762,790,6,10
72597,59767,10,0,1
72598,59767,8,2,3
72599,59841,59840,0,8
72600,59890,13606,0,10
72601,59890,59889,11,12
72602,59895,1089,0,11
72603,59895,1340,12,11
72604,59907,59906,0,11
72605,59907,32436,12,4
72606,59916,6263,0,9
72607,59916,1999,10,8
72608,59962,545,0,6
72609,59962,5989,9,12
72610,59983,1350,0,6
72611,59983,19720,7,6
72612,60012,11272,0,7
72613,60012,153,8,5
72614,60028,16013,0,8
72615,60028,1387,9,5
72616,60035,9564,0,5
72617,60035,43,6,3
72618,60036,9564,0,5
72619,60036,43,6,3
72620,60036,7256,10,8
72621,60044,26,0,3
72622,60044,14,4,3
72623,60052,6306,0,9
72624,60052,100,10,3
72625,60058,3,0,2
72626,60058,636,3,7
72627,60060,29,0,2
72628,60061,59750,0,3
72629,60061,2142,4,7
72630,60064,19,0,1
72631,60064,1348,2,9
72632,60065,38,0,5
72633,60065,27,6,2
72634,60066,26,0,3
72635,60066,27,4,2
72636,60068,1672,0,7
72637,60068,702,8,9
72638,60082,2951,0,5
72639,60087,179,0,8
72640,60087,3701,9,6
72641,60088,821,0,5
72642,60088,132,6,6
72643,60089,255,0,6
72644,60089,3701,7,6
72645,60093,29,0,2
72646,60093,92,3,6
72647,60093,52,10,2
72648,60093,127,13,3
72649,60095,30643,0,5
72650,60095,10914,6,6
72651,60101,52,0,2
72652,60101,440,3,7
72653,60116,10,0,1
72654,60116,627,2,3
72655,60116,1888,6,5
72656,60128,726,0,4
72657,60128,1043,5,6
72658,60130,1,0,1
72659,60130,554,7,8
72660,60132,1016,0,6
