word_id,aspect,partner,imperative_sg,imperative_pl,past_m,past_f,past_n,past_pl,presfut_conj_id,participle_active_present_id,participle_active_past_id,participle_passive_present_id,participle_passive_past_id
9,imperfective,,бу'дь,бу'дьте,бы'л,была',бы'ло,бы'ли,53,,545,,
28,perfective,говорить,скажи',скажи'те,сказа'л,сказа'ла,сказа'ло,сказа'ли,1773,,60677,,60218
32,imperfective,смочь,моги',моги'те,мо'г,могла',могло',могли',2211,56628,60678,,
50,imperfective,узнать,зна'й,зна'йте,зна'л,зна'ла,зна'ло,зна'ли,550,4331,60679,60680,60681
53,imperfective,"сказать;поговорить",говори',говори'те,говори'л,говори'ла,говори'ло,говори'ли,307,7940,60682,60683,60684
73,imperfective,"съесть;поесть",е'шь,е'шьте,е'л,е'ла,е'ло,е'ли,399,60685,60686,,60687
90,imperfective,захотеть,хоти',хоти'те,хоте'л,хоте'ла,хоте'ло,хоте'ли,2167,60688,60689,,
94,imperfective,увидеть,ви'дь,ви'дьте,ви'дел,ви'дела,ви'дело,ви'дели,92,60690,60691,1278,60692
96,imperfective,пойти',иди',иди'те,шёл,шла',шло',шли',555,60693,60694,,
99,imperfective,постоять,сто'й,сто'йте,стоя'л,стоя'ла,стоя'ло,стоя'ли,1936,2323,60695,,
107,imperfective,подумать,ду'май,ду'майте,ду'мал,ду'мала,ду'мало,ду'мали,2212,60696,60697,,
109,perfective,спрашивать,спроси',спроси'те,спроси'л,спроси'ла,спроси'ло,спроси'ли,1911,,60698,,60699
117,imperfective,прожить,живи',живи'те,жи'л,жила',"жи'ло,жило'",жи'ли,414,52168,60700,,
121,imperfective,посмотреть,смотри',смотри'те,смотре'л,смотре'ла,смотре'ло,смотре'ли,1812,60701,60702,,60703
122,imperfective,,име'й,име'йте,име'л,име'ла,име'ло,име'ли,598,59843,60704,60705,
124,perfective,понимать,пойми',пойми'те,по'нял,поняла',по'няло,по'няли,1286,,60706,,60707
125,imperfective,"посидеть;сесть",сиди',сиди'те,сиде'л,сиде'ла,сиде'ло,сиде'ли,1771,60708,60709,,
